"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G29002100002001","290210002001","60","4"
"G29002100002002","290210002002","51","3"
"G29002100002003","290210002003","72","6"
"G29002100003001","290210003001","93","9"
"G29002100003002","290210003002","83","8"
"G29002100004001","290210004001","91","9"
"G29002100004002","290210004002","93","9"
"G29002100005001","290210005001","75","6"
"G29002100005002","290210005002","66","5"
"G29002100005003","290210005003","88","8"
"G29002100006001","290210006001","58","4"
"G29002100006002","290210006002","66","5"
"G29002100006003","290210006003","GQ","GQ"
"G29002100007011","290210007011","51","3"
"G29002100007012","290210007012","49","3"
"G29002100007013","290210007013","GQ","GQ"
"G29002100007014","290210007014","71","6"
"G29002100007021","290210007021","63","4"
"G29002100007022","290210007022","82","7"
"G29002100007023","290210007023","74","6"
"G29002100009001","290210009001","83","8"
"G29002100009002","290210009002","87","8"
"G29002100009003","290210009003","85","8"
"G29002100009004","290210009004","79","7"
"G29002100009005","290210009005","80","7"
"G29002100010001","290210010001","98","10"
"G29002100010002","290210010002","98","10"
"G29002100010003","290210010003","99","10"
"G29002100011001","290210011001","60","4"
"G29002100011002","290210011002","94","9"
"G29002100011003","290210011003","99","10"
"G29002100012001","290210012001","91","9"
"G29002100012002","290210012002","97","10"
"G29002100015001","290210015001","85","8"
"G29002100015002","290210015002","87","8"
"G29002100015003","290210015003","83","8"
"G29002100015004","290210015004","83","8"
"G29002100015005","290210015005","93","9"
"G29002100016001","290210016001","87","8"
"G29002100016002","290210016002","80","7"
"G29002100016003","290210016003","81","7"
"G29002100017001","290210017001","87","8"
"G29002100017002","290210017002","67","5"
"G29002100018001","290210018001","74","6"
"G29002100018002","290210018002","78","7"
"G29002100018003","290210018003","83","8"
"G29002100021001","290210021001","75","6"
"G29002100021002","290210021002","86","8"
"G29002100021003","290210021003","87","8"
"G29002100022001","290210022001","47","2"
"G29002100023001","290210023001","68","5"
"G29002100023002","290210023002","77","7"
"G29002100024001","290210024001","96","10"
"G29002100024002","290210024002","91","9"
"G29002100025001","290210025001","91","9"
"G29002100025002","290210025002","92","9"
"G29002100025003","290210025003","90","9"
"G29002100027001","290210027001","41","2"
"G29002100027002","290210027002","45","2"
"G29002100028001","290210028001","43","2"
"G29002100028002","290210028002","57","4"
"G29002100028003","290210028003","55","3"
"G29002100028004","290210028004","60","4"
"G29002100028005","290210028005","62","4"
"G29002100029001","290210029001","92","9"
"G29002100029002","290210029002","63","4"
"G29002100029003","290210029003","63","4"
"G29002100030011","290210030011","97","10"
"G29002100030012","290210030012","97","10"
"G29002100030013","290210030013","97","10"
"G29002100030021","290210030021","94","9"
"G29002100030022","290210030022","96","10"
"G29002309501011","290239501011","71","6"
"G29002309501012","290239501012","67","5"
"G29002309501021","290239501021","80","7"
"G29002309501022","290239501022","79","7"
"G29002309502011","290239502011","65","5"
"G29002309502012","290239502012","41","2"
"G29002309502013","290239502013","72","6"
